Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location
96112-005,1,23-May-97,Letter to Mark Brown re: Phase 1 Deliverables,PTM,,96112 File,/cslt/docs/1996/96112letters/Brown_M_97-05-23.doc
96112-006,1,13-Aug-97,Letter to Mark Brown re: Phase 1 Completion Date,PTM,,96112 File,/cslt/docs/1996/96112letters/Brown_M_97-08-13.doc
96112-007,1,13-Nov-97,Training Report,DY,,96112 File,/cslt/docs/1996/96112/reports/96112-007.doc
96112-008,1,19-Nov-97,"Letter to Mark Brown re: Work Reports, etc. Review with Jim Hinchey",PTM,,96112 File,/cslt/docs/1996/96112letters/Brown_M_97-11-19.doc
96112-009,1,19-Jan-97,MRGIS Phase II System Requirements Specification,PTM/DY/RJ,,96112 File,/cslt/docs/1996/96112/phase2docs/srs/body.bk
96112-010,1,02-Feb-98,Letter to Mark Brown re: Revised Price Quote for Phase II,PTM,,96112 File,/cslt/docs/1996/96112/letters/Brown_M_98-02-02.doc
96112-011,1,11-Feb-98,Letter to Mark Brown re: Second Revised Price Quote for Phase II in the form of discrete work packages,PTM,,96112 File,/cslt/docs/1996/96112/letters/Brown_M_98-02-11.doc
96112-012,1,25-Feb-99,Letter to Mark Brown re: Response to problems/issues identified by Mines & Energy subsequent to MRGIS system review,PTM/DY,,96112 File,/cslt/docs/1996/96112/letters/Brown_M_99-02-25.doc
,,,,,,,
,,,,,,,
96114-001,1,04-Dec-96,Technical Interface to the LSVCC for a Visually Impaired Person- Technical and Cost Proposal,PTM,,96114 File,/cslt/docs/1996/96114/proposal/body.bk
96114-002,1,11-Dec-96,Letter to Lily Shen re: Clarifications to proposal,PTM,,96114 File,/cslt/docs/1996/96114/letters/96114-002.doc
96114-003,1,20-Dec-96,Letter to Ron Palmer re: Reponses to questions regarding proposal,PTM,,96114 File,/cslt/docs/1996/96114/letters/96114-003.doc
96114-004,1,21-Jan-97,Letter to Lily Shen re: Agenda for start-up meeting,PTM,,96114 File,/cslt/docs/1996/96114/letters/96114-004.doc
96114-005,1,18-Feb-97,Letter to Lily Shen re: project Status Report,PTM,,96114 File,/cslt/docs/1996/96114/letters/96114-005.doc
96114-006,1,21-Feb-97,ScreenReader Evaluation Report,PTM,,96114 File,/cslt/docs/1996/96114/eval_report/body.bk
96114-007,1,05-May-97,Letter to Lily Shen re: Training Schedule,PTM,,96114 File,/cslt/docs/l96114/letters/96114-007.doc
96114-008,1,27-May-97,Training Manual,PTM,,96114 File,/cslt/docs/1996/96114/training/body.bk
96114-009,1,03-Jun-97,Letter to Lily Shen re: Problems to be addresses,PTM,,96114 File,/cslt/docs/1996/96114/letters/96114-009.doc
96114-010,1,25-Jun-97,Letter to Lily Shen re: Scheduling of trip and standards/guidelines document,PTM,,96114 File,/cslt/docs/1996/96114/letters/96114-010.doc
,,,,,,,
,,,,,,,
96116-001,1,???,Internet Public Application for the Lobbyist Registration System - Proposal,,,,/cslt/docs/1996/96116/proposal/technical/body.bk
96116-002,1,???,Internet Public Application for the Lobbyist Registration System - Project Plan,,,,/cslt/docs/1996/96116/project_plan/0pplan.bk
96116-003,1,???,Internet Public Application for the Lobbyist Registration System - QA Plan,,,,/cslt/docs/1996/96116/qa_plan/0qa_plan.bk
96116-004,1,27-Jan-97,Internet Public Application for the Lobbyist Registration System - System Design Manual (new format).,BOR/RAR,,,/cslt/docs/1996/96116/sdm/sdm.bk
96116-004,2,07-Feb-97,Internet Public Application for the Lobbyist Registration System - System Design Manual (new format).,BOR/RAR,,,/cslt/docs/1996/96116/sdm/sdm.bk
96116-004,3,05-Mar-97,Internet Public Application for the Lobbyist Registration System - System Design Manual (new format).,BOR/RAR,,,/cslt/docs/1996/96116/sdm/sdm.bk
96116-005,1,08-Jan-97,Internet Public Application for the Lobbyist Registration System - Requirements Traceability Matrix,WNE,,,/cslt/docs/1996/96116/rtm/rtm.bk
96116-006,1,22-Jan-97,Internet Public Application for Conflict of Interest Statements - Proposal,LB,,96116 File,/cslt/docs/1996/96116/proposal2/body.bk
96116-007,1,10-Feb-97,Internet Public Application for the Lobbyists Registration System (IPALRS) - User’s Manual,JR,,96116 File,/cslt/docs/1996/96116/users_manual/0lrs..book
96116-008,1,17-Feb-97,Internet Public Application for the Lobbyists Registration System (IPALRS) - Acceptance Test Plan,WNE/BOR,,96116 File,/cslt/docs/1996/96116/atp/0atp..bk
96116-008,2,17-Mar-97,Internet Public Application for the Lobbyists Registration System (IPALRS) - Acceptance Test Plan,WNE/BOR,,96116 File,/cslt/docs/1996/96116/atp/0atp..bk
96116-009,1,18-Feb-97,Compusult response to HLDM Review 2.0,WNE/BOR,,96116 File,/cslt/docs/1996/96116/sdm/hldmrev2.doc
96116-010,1,18-Feb-97,Conflict of Interest - Project Plan,WNE/BOR,,96116 File,/cslt/docs/1996/96116/coi/project_plan
96116-011,1,04-Jun-97,Letter to Raymond Brunet regarding Support for LRS,BOR,,96116 File,/cslt/docs/1996/96116/letters/lrs_support.doc
96116-012,1,04-Jun-97,Letter to Raymond Brunet regarding COI add-on,BOR,,96116 File,/cslt/docs/1996/96116/letters/coi_add-on.doc
96116-013,1,29-Oct-98,LRRS and COI - Year 2000 Impact Report,CIC,,96116 File,/cslt/docs/1996/96116/reports/y2k_impact/doc.bk
96116-014,1,08-Apr-99,Letter to Suzanne Julien providing personnel rates for FY 1999-2000.,WNE,,OEC Communications Log,/cslt/docs/1996/96116/letters/99-00_rates.doc
96116-015,1,22-Jun-00,Letter to Suzanne Julien providing personnel rates for FY 2000-2001.,WNE,,OEC Communications Log,/cslt/docs/1996/96116/letters/00-01_rates.doc
96116-016,1,08-May-01,Letter to Suzanne Julien providing personnel rates for FY 2001-2002.,WNE,,OEC Communications Log,/cslt/docs/1996/96116/letters/01-02_rates.doc
,,,,,,,
96121-001,1,14-Jan-97,Technical/Cost Proposal,PTM,,96121 File,/cslt/docs/1996/96121/proposal/technical/body.bk
96121-003,1,11-Dec-96,Letter to D. Levesque re: Confirmation of Attendance,PTM,,96121 File,/cslt/docs/1996/96121/letters/96121-003.doc
96121-004,1,02-Jan-97,Letter to D. Levesque re: RFP clarifications,PTM,,96121 File,/cslt/docs/1996/96121/pletters/96121-004.doc
96121-005,1,07-Jan-97,Letter to D. Levesque re: RFP clarifications,PTM,,96121 File,/cslt/docs/1996/96121/pletters/96121-005.doc
96121-006,1,15-Jan-97,Letter to D. Levesque re: RFP submission,PTM,,96121 File,/cslt/docs/1996/96121/pletters/96121-006.doc
,,,,,,,
96123-001,1,19-Nov-96,"Tender for 37 WordPerfect Upgrades, GPA",RWT,,96123 File,/cslt/docs/1996/96123/wpbid.doc
,,,,,,,
96124-001,1,04-Dec-96,Confirmation of Cisco AS5100/AS5200 Upgrade Offer,RWT,,96124 File,/cslt/docs/1996/96124/cisco.doc
,,,,,,,
96125-001,1,13-Dec-96,E-mail access for Sobeys Newfoundland,RWT,,96125 File,/cslt/docs/1996/96125/sobeys.doc
,,,,,,,
96138-001,1,03-Feb-97,Adaptation and Enhancement of the Doppler Analysis Software - Technical and Management Proposal,PTM/BG,,96138 File,/cslt/docs/1996/96138/proposal/technical/body.bk
96138-002,1,03-Feb-97,Adaptation and Enhancement of the Doppler Analysis Software - Price and Method of Payment Proposal,PTM,,96138 File,/cslt/docs/1996/96138/proposal/cost/body.bk
,,,,,,,
96141-001,1,21-Feb-97,Applications Modification Assessment Document,CDP/ DY,,,/cslt/docs/1996/96141/assessment/body.book
96141-002,1,30-May-97,Pesticide Information Management System,DY,,,/cslt/docs/1996/96141/Pesticide/body.book
96141-004,1,29-Sep-97,Change Proposal Quotation - CP 96141-054,CDP,,,/cslt/docs/1996/96141/Quotation
96141-005,1,30-Oct-97,Letter to Abe Pike Re: Warranty Coverage,PTM,,,/cslt/docs/1996/96141/letters/Pike_A_97-10-30.doc
96141-006,1,10-Nov-97,Letter to Bill Day Re: TR Response,WE/CP,,,/cslt/docs/1996/96141/Quotation/96141-006.doc
96141-007,1,13-Nov-97,"Change Proposal Quotation - CP’s 061, 064 and 065",DY,,,/cslt/docs/1996/96141/Quotation/96141-007.doc
96141-008,1,04-Dec-97,Letter to Abe Pike Re: Revised Quote for PIMS,PTM,,96141 File,/cslt/docs/1996/96141/letters/Pike_A_97-12-04.doc
96141-009,1,08-Dec-97,Letter to Abe Pike Re: Second Revised Quote for PIMS,PTM,,96141 File,/cslt/docs/1996/96141/letters/Pike_A_97-12-08.doc
96141-010,1,15-Jan-98,Proposal for PIMS development,PTM,,96141 File,/cslt/docs/1996/96141/PIMSproposal/body.bk
,,,,,,,
96143-001,1,05-Feb-97,Evaluation of Laser Rangefinder Technology for ALBEDOS Mod. 1 - Technical and Management Proposal,PTM/BG,,96143 File,/cslt/docs/1996/96143/proposal/technical/body.bk
96143-002,1,05-Feb-97,Evaluation of Laser Rangefinder Technology for ALBEDOS Mod. 1 - Price and Method of Payment Proposal,PTM,,96143 File,/cslt/docs/1996/96143/proposal/cost/body.bk
96143-003,1,12-Feb-97,Letter to Jacques Fortin re: Price Proposal Clarifications,PTM,,96143 File,/cslt/docs/1996/96143/letters/96143-003.doc
96143-004,1,14-Feb-97,Letter to Jacques Fortin re: PGSC Personnel Info,PTM,,96143 File,/cslt/docs/1996/96143/letters/96143-004.doc
96143-005,1,30-Apr-97,Interim Report #1,PTM/BG,,96143 File,/cslt/docs/1996/96143/interim_reports/report1/body.bk
96143-006,1,31-May-97,Phase 1 Report - Laser Rangefinder Technology Market Survey,PTM,,96143 File,/cslt/docs/1996/96143/survey/report/body.bk
96143-007,1,31-May-97,Phase 2 Report - Laser Rangefinder Computer Simulations,PTM,,96143 File,/cslt/docs/1996/96143/simulations/report/body.bk
96143-008,1,15-Jul-97,Final Report,PTM/BG,,96143 File,/cslt/docs/1996/96143/final-report
96143-009,1,09-Sep-97,"Letter to Jacques Fortin, PWGSC re: Status of Final Payment",PTM,,96143 File,/cslt/docs/1996/96143/letters/96143-009
96143-010,1,14-Apr-98,Letter to Vincent Larochelle re: Latest ALST LRF Info,PTM,,96143 File,/cslt/docs/1996/96143/letters/96143-010
,,,,,,,
96148-001,1,31-Jan-97,Proposal to CHS for CHSDIR,BOR,,96148File,/cslt/docs/1996/96148/proposal
96148-002,1,20-Feb-97,CHSDIR Project Plan,WNE/LB,,96148File,/cslt/docs/1996/96148/project_plan
96148-003,1,07-Mar-97,CHSDIR Requirements Traceability Matrix,WNE/LB,,96148File,/cslt/docs/1996/96148/rtm
96148-004,1,07-Mar-97,"CHSDIR Project Report for March 07, 1997",LB,,96148File,/cslt/docs/1996/96148/reports/970307
,,,,,,,
96999-001,1,19-Mar-96,Letter to Bob Bureaux regarding Centrix service.,BOR,,Newfoundland Telephone File,/cslt/docs/1996/96999/96999-001.doc
96999-002,1,19-Mar-96,Letter to Frank Davis Accepting to be on the Board of Directors.,BOR,,Operation Online,/cslt/docs/1996/96999/96999-002.doc
,,,,,,,
97001-001,1,07-Sep-00,Letter to Virginia Zazulak re: Renewal of Compusult Limited’s Enhanced Reliability level,WNE,,Security File,/cslt/docs/1997/97001/letters/97001-001.doc
97001-002,1,10-Oct-00,Letter to Bernard Martin re: Facility Security Clearance,WNE/BOR,,Security File,/cslt/docs/1997/97001/letters/97001-002.doc
97001-003,1,06-Mar-01,Letter to Bernard Martin re: Enhanced reliability check for RT.,WNE/BOR,,Security File,/cslt/docs/1997/97001/letters/97001-003.doc
97001-004,0.1,26-Sep-01,Compusult Limited - Draft Company Security Orders for Designated Material and Information,WNE/RT,,,/cslt/docs/1997/97001/security_orders/body.bk
97001-004,1,15-Oct-01,Compusult Limited - Company Security Orders for Designated Material and Information,WNE,,,/cslt/docs/1997/97001/security_orders/cslt_cso_011015.pdf
,,,,,,,
97015-001,1,11-Apr-97,LIDAR Sensor of Maritime Infrared Environment - Technical and Management Proposal,PTM/BG,,97015 File,/cslt/docs/1997/97015/proposal/technical/body.bk
97015-002,1,11-Apr-97,LIDAR Sensor of Maritime Infrared Environment - Price and Method of Payment Proposal,PTM,,97015 File,/cslt/docs/1997/97015/proposal/cost/body.bk
,,,,,,,
97030-001,1,02-Apr-97,Technological Development to Meet the Needs of Sensory and Cognitively Impaired Travellers - Technical and Management Proposal,PTM,,97030 File,/cslt/docs/1997/97030/proposal/technical/body.bk
97030-002,1,02-Apr-97,Technological Development to Meet the Needs of Sensory and Cognitively Impaired Travellers - Price and Method of Payment Proposal,PTM,,97030 File,/cslt/docs/1997/97030/proposal/technical/body.bk
97030-003,1,03-Apr-97,Letter to François Legris re: status of proposal submission,PTM,,97030 File,/cslt/docs/1997/97030/letters/Legris_F_97-04-03.doc
,,,,,,,
97048-001,1,12-May-97,Expression of Interest for USPS Electronic Postmark Services,PTM,,97048 File,/cslt/docs/1997/97048/eoi/express.bk
97048-002,1,12-May-97,Covering letter to Booker Weaver,PTM,,97048 File,/cslt/docs/1997/97048/letters/97048-002.doc
,,,,,,,
97050,1,08-May-97,Quotation to Ron Pitcher of Pennecon Ugland,PTM,,97050 File,/cslt/docs/1997/97050/97050-001.doc
,,,,,,,
97051-001,1,23-Jun-97,Letter to Maurice Devine re: ACAN Software Assessment Options & Costing,DY,,97051 File,/cslt/docs/1997/97051/Letters/
97051-002,1,24-Jul-97,ACAN Windows Inc. - Software Assessment,CP,,,/cslt/docs/1997/97051/docs/
97051-003,1,27-Aug-97,Letter to Maurice Devine re: ACAN File Manipulation Quotation,DY,,97051 File,/cslt/docs/1997/97051/Letters/
,,,,,,,
97052-001,1,13-May-97,Proposal for System Architecture Documentation for LRS,BOR,,97052 File,/cslt/docs/1997/97052/proposal/body.bk
,,,,,,,
97053-001,1,20-Jun-97,CEOArch/CEOCat Interface - Proposal,BOR,,97053 File,/cslt/docs/1997/97053/proposal
97053-002,1,03-Jul-97,CEOArch/CEOCat Interface - Project Plan,WNE,,,/cslt/docs/1997/97053/pplan
97053-003,1,03-Jul-97,CEOArch/CEOCat Interface - Quality Assurance Plan (This one has been made more generic.),WNE,,,/cslt/docs/1997/97053/qa_plan
97053-004,1,07-Jul-97,CEOArch/CEOCat Interface - Draft System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs
97053-004,1.1,25-Aug-97,CEOArch/CEOCat Interface - Draft System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-004,1.2,03-Sep-97,CEOArch/CEOCat Interface - Draft System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-004,1.3,03-Oct-97,CEOArch/CEOCat Interface - Draft System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-004,1.4,07-Oct-97,CEOArch/CEOCat Interface - Draft System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-004,1.5,03-Nov-97,CEOArch/CEOCat Interface - System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-004,1.6,02-Dec-97,CEOArch/CEOCat Interface - System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-004,1.7,03-Dec-97,CEOArch/CEOCat Interface - System Requirements Specification,WNE/BOR/LB,,,/cslt/docs/1997/97053/srs/NEW
97053-005,1,07-Jul-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-005,1.1,25-Aug-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-005,1.2,03-Sep-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-005,1.3,03-Oct-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-005,1.4,07-Oct-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-005,1.5,03-Nov-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-005,1.7,03-Dec-97,CEOArch/CEOCat Interface - Requirements Traceability Matrix,WNE,,,/cslt/docs/1997/97053/rtm
97053-006,1,19-Sep-97,CEOArch/CEOCat Interface - Acceptance Test Plan,WNE/BOR/LB,,,/cslt/docs/1997/97053/atp
97053-007,1,09-Sep-97,CEOArch/CEOCat Interface - System Management & Maintenance Manual,LB/BOR,,,/cslt/docs/1997/97053/smmm
97053-008,1,08-Aug-97,Letter to Sussan McAninch,BOR,,,/cslt/docs/1997/97053/letters/mile.doc
97053-009,1,04-Nov-97,Letter to Arvon Erickson,BOR,,,/cslt/docs/1997/97053/letters/mile2.doc
97053-010,2,16-Jan-98,CEOCat - User’s Manual,,,,
,,,,,,,
(Originally issued as CCRS Data Holdings - User’s Manual under Proj. # 95058... Updated Revision # to 2.0 to reflect the CEOCat S/W Version #.),WNE/BOR/LB,,,/cslt/docs/1997/97053/users_manual/doc.bk,,,
97053-010,2.1,22-Jan-98,CEOCat - User’s Manual,,,,
,,,,,,,
(Originally issued as CCRS Data Holdings - User’s Manual under Proj. # 95058... Updated Revision # to 2.0 to reflect the CEOCat S/W Version #.),WNE/BOR/LB,,,/cslt/docs/1997/97053/users_manual/doc.bk,,,
97053-010,2.2,03-Feb-98,CEOCat - User’s Manual,,,,
,,,,,,,
Updated to reflect Arvon’s review.,BOR,,,/cslt/docs/1997/97053/users_manual/doc.bk,,,
97053-011,1,01-May-98,CEOCat System Upgrade - Part A: Technical Proposal,BOR,,,/cslt/docs/1997/97053/2proposal/doc.bk
97053-011,1,01-May-98,CEOCat System Upgrade - Part B: Price Proposal,BOR,,,/cslt/docs/1997/97053/2proposal/doc.bk
97053-012,1,05-Jun-98,CEOCat System Upgrade - Preliminary System Requirements Specification (SRS),BOR/LB/WNE,,,/cslt/docs/1997/97053/2srs/doc.bk
97053-012,2,14-Aug-98,CEOCat System Upgrade - Draft System Requirements Specification (SRS),BOR/LB/WNE,,,/cslt/docs/1997/97053/2srs/doc.bk
97053-012,2.1,01-Oct-98,CEOCat System Upgrade - Draft System Requirements Specification (SRS),BOR/LB/WNE,,,/cslt/docs/1997/97053/2srs/doc.bk
97053-012,2.2,21-Oct-98,CEOCat System Upgrade - System Requirements Specification (SRS),BOR/LB/WNE,,,/cslt/docs/1997/97053/2srs/doc.bk
97053-013,1,05-Jun-98,CEOCat System Upgrade - High-Level Design Document (HLDD),BOR/LB/WNE,,,/cslt/docs/1997/97053/2hldd/doc.bk
97053-013,2,14-Aug-98,CEOCat System Upgrade - High-Level Design Document (HLDD),BOR/LB/WNE,,,/cslt/docs/1997/97053/2hldd/doc.bk
97053-013,2.1,06-Oct-98,CEOCat System Upgrade - High-Level Design Document (HLDD),BOR/LB/WNE,,,/cslt/docs/1997/97053/2hldd/doc.bk
97053-014,1,15-Sep-98,CEOCat System Upgrade - Implementation Plan,BOR/LB/WNE,,,/cslt/docs/1997/97053/2pplan/doc.bk
97053-014,2,20-Nov-98,CEOCat System Upgrade - Implementation Plan,BOR/WNE,,,/cslt/docs/1997/97053/2pplan/doc.bk
97053-014,3,22-Jan-99,CEOCat System Upgrade - Implementation Plan,BOR/WNE,,,/cslt/docs/1997/97053/2pplan/doc.bk
97053-015,1,10-Jun-98,Letter to Sussan McAninch,WNE,,,/cslt/docs/1997/97053/letters/mcaninch980610.doc
97053-016,1,05-Oct-98,CEOCat System Upgrade - Cost Proposal - Phase 1,BOR,,,/cslt/docs/1997/97053/2pplan/cost
97053-017,1,05-Oct-98,CEOCat System Upgrade - Cost Proposal - Phase 2,BOR,,,/cslt/docs/1997/97053/2pplan/cost2
,,,,,,,
97070-001,1,13-Jun-97,Adaptive Feasibility Studies - Proposal to NIB,PTM,,97070 File,/cslt/docs/1997/97070/proposal1/body.bk
97070-002,1,09-Jul-97,"Letter to Fred Lee, VAMC, Albany, NY",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-002.doc
97070-003,1,17-Jul-97,"Letter to Bill Rives, VAMC, East Orange, NJ",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-003.doc
97070-004,1,17-Jul-97,"Letter to Debra Richardson, VAMC, East Orange, NJ",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-004.doc
97070-005,1,18-Jul-97,"Letter to Sue Fiaschetti, VAMC, Albany, NY",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-005.doc
97070-006,1,08-Aug-97,Adaptive technology Feasibility Studies - Report,PTM/BG,,97070 File,/cslt/docs/1997/97070/report1/body.bk
97070-007,1,26-Aug-97,"Proposal: Adaptive Technology for Visually Impaired Operators at Albany, NY VAMC",PTM/BG,,97070 File,/cslt/docs/97070/report1/NYproposal/body.book
97070-008,1,26-Aug-97,"Proposal: Adaptive Technology for Visually Impaired Operators at East Orange, NJ VAMC",PTM/BG,,97070 File,/cslt/docs/1997/97070/report1/NJproposal/body.book
97070-009,1,10-Oct-97,"Letter to Robert Ross, Commission for the Blind and Visually Handicapped, Albany re: Compusult Proposal",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-008.doc
97070-010,1,07-Jan-98,Letter to Steve Pavelsky re: Tuscon VA info requirements,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-010.doc
97070-011,1,14-Jan-98,Revised Proposal: Adaptive Technology for Visually Impaired Operators at Albany NY VAMC delivered to New York State Commission for the Blind and Visually Handicapped,PTM/BG,,97070 File,/cslt/docs/1997/97070/report1/NJproposal2/body.book
97070-012,1,03-Mar-98,Proposal Adaptive Technology for Visually Impaired ,,,,
"Operators at Tucson, AZ VAMC delivered to Tucson Association for the Blind and Visually Impaired",PTM/BG,,97070 File,/cslt/docs/1997/97070/AZ_proposal/body.book,,,
97070-013,1,03-Apr-98,Contract - Adaptive Technology for Visually Impaired ,,,,
"Operators at East Orange, NJ VAMC delivered to New Jersey Association of the Deaf /Blind",PTM,,97070 File,/cslt/docs/1997/97070/NJ_contract/body.book,,,
97070-014,1,06-Mar-98,"Letter to Eugene Luini, Tucson Association for the Blind and Visually Impaired re: Warranty on Responder system",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-014.doc
97070-015,1,06-Mar-98,"Letter to Steve Pavelsky, NIB re: Warranty on Responder system",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-015.doc
97070-016,1,14-Apr-98,"Letter to Linda Wilson, New Jersey Association of the Deaf-Blind re: Draft Contract (see 97070-013)",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-016.doc
97070-017,1,16-Apr-98,"Letter to Linda Wilson, New Jersey Association of the Deaf-Blind re: Copy of Insurance Policy and references",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-017.doc
97070-018,1,22-Apr-98,"Letter to Linda Wilson, New Jersey Association of the Deaf-Blind re: Revised Draft Contract (see 97070-013)",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-018.doc
97070-019,1,22-Apr-98,"Letter to Eugene Luini, Tucson Association for the Blind and Visually Impaired re: Shipment of Contract",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-019.doc
97070-020,1,29-Apr-98,"Letter to Eugene Luini, Tucson Association for the Blind and Visually Impaired re: Modifications to Contract",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-020.doc
97070-021,1,08-May-98,"Letter to Kenneth Galarneau, Commission for the Blind and Visually handicapped re: Shipment of Payment.",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-021.doc
97070-022,1,01-Jun-98,"Letter to Linda Wilson, New Jersey Association of the Deaf-Blind re: Contract Status",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-022.doc
97070-023,1,01-Jun-98,"Letter to Eugene Luini, Tucson Association for the Blind and Visually Impaired re: Contract Status",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-023.doc
97070-024,1,03-Jun-98,"Letter to Eugene Luini, Tucson Association for the Blind and Visually Impaired re: Proposed Installation Dates",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-024.doc
97070-025,1,24-Jun-98,Letter to Sue Fiaschetti re: Proposed Installation Dates for Albany VAMC,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-025.doc
97070-026,1,24-Jun-98,"Linda Wilson, New Jersey Association of the Deaf-Blind re: Proposed Installation Dates for East Orange VAMC",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-026.doc
97070-027,1,02-Jul-98,"Linda Wilson, New Jersey Association of the Deaf-Blind re: cover letter with contract",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-027.doc
97070-028,1,17-Jul-98,Proposal for Adaptive Technology for Tinker AFB,PTM,,97070 File,/cslt/docs/1997/97070/TinkerAFB_proposal/body.book
97070-029,1,17-Jul-98,Proposal for Adaptive Technology for Holloman AFB,PTM,,97070 File,/cslt/docs/1997/97070/HollomanAFB_proposal/body.book
97070-030,1,17-Jul-98,"Covering letter to Wayne Bonham, NIB re: Proposals for Tinker and Holloman AFBs",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-030.doc
97070-031,1,27-Jul-98,"Letter to Linda Wilson, New Jersey Association of the Deaf-Blind re: Revised Proposed Installation Dates for East Orange VAMC",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-031.doc
97070-032,1,07-Aug-98,"Letter to Linda Wilson, New Jersey Association of the Deaf-Blind re: Revised Proposed Installation Dates for East Orange VAMC",PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-032.doc
97070-033,1,07-Aug-98,Letter to Bill Rives re: Installation dates at the East Orange VAMC,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-033.doc
97070-034,1,07-Aug-98,Letter to Vivian Beasly re: Proposed Installation Dates for Tucson VAMC,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-034.doc
97070-035,1,07-Aug-98,Letter to Eugene Luini re: Proposed Installation Dates for Tucson VAMC and availability of telephone line,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-035.doc
97070-036,1,03-Sep-98,Letter to Eugene Luini re: Delivery of system and sign-off & release of final payment,VFC/PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-036.doc
97070-036,,,,,,,
(repeat),1,09-Sep-98,Proposal for Adaptive Technology for Davis Monthan AFB,PTM,,97070 File,/cslt/docs/1997/97070/DM-AFBproposal/body.book
97070-038,1,11-Sep-98,Letter to Eugene Luini re: Partnering arrangement,PTM,,97070 File,/cslt/docs/97070/letters/97070-038.doc
97070-039,1,11-Sep-98,Letter to Linda Wilson re: Partnering arrangement,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-039.doc
97070-040,1,11-Sep-98,Letter to Sue Fiaschetti re: Partnering arrangement,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-040.doc
97070-041,1,05-Oct-98,Letter to Linda Wilson re: Sign-Off and Problem Report,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-041.doc
97070-042,1,06-Oct-98,"Letter to Rollande Young, Pulnix America re: claim for compensation for defective Pulnix cameras",VC,,97070 File,/cslt/docs/letters/1997/97070-042.doc
97070-043,1,11-Dec-98,DigiCite Warranty Statement,VC/PTM,,97070 File,/cslt/docs/letters/1997/97070-043.doc
97070-044,1,22-Dec-98,Letter to Steve Pavelsky: re MacDill & Barksdale AFB quotes,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-044.doc
97070-045,1,09-Apr-99,Letter to Steve Pavelsky - Y2K Compliancy,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-045.doc
97070-046,1,05-Apr-99,Letter to Kimberley Finney (NJADB) - Y2K Compliancy,PTM,,97070 File,/cslt/docs/1997/97070/letters/97070-046.doc
